filename,x_label,y_value
cropped_page_6.png,2013.10,4.55M
cropped_page_6.png,2014.01,4.55M
cropped_page_6.png,2014.04,4.55M
cropped_page_6.png,2014.07,4.55M
cropped_page_6.png,2014.10,4.55M
cropped_page_6.png,2015.01,4.55M
cropped_page_6.png,2015.04,4.55M
cropped_page_6.png,2015.07,4.55M
cropped_page_6.png,2015.10,4.55M
cropped_page_6.png,2016.01,4.55M
cropped_page_6.png,2016.04,4.55M
cropped_page_6.png,2016.07,4.55M
cropped_page_6.png,2016.10,4.55M
cropped_page_6.png,2017.01,4.55M
cropped_page_6.png,2017.04,4.55M
cropped_page_6.png,2017.07,4.55M
cropped_page_6.png,2017.10,4.55M
cropped_page_6.png,2018.01,4.55M
cropped_page_6.png,2018.04,4.55M
cropped_page_6.png,2018.07,4.55M
cropped_page_6.png,2018.10,4.55M
cropped_page_6.png,2019.01,4.55M
cropped_page_6.png,2019.04,4.55M
cropped_page_6.png,2019.07,4.55M
cropped_page_6.png,2019.10,4.55M
cropped_page_6.png,2020.01,4.55M
cropped_page_6.png,2020.04,4.55M
cropped_page_6.png,2020.07,4.55M
cropped_page_6.png,2020.10,4.55M
cropped_page_6.png,2021.01,4.55M
cropped_page_6.png,2021.04,4.55M
cropped_page_6.png,2021.07,4.55M
cropped_page_6.png,2021.10,4.55M
cropped_page_6.png,2022.01,4.55M
cropped_page_6.png,2022.04,4.55M
cropped_page_6.png,2022.07,4.55M
cropped_page_6.png,2022.10,4.55M
cropped_page_6.png,2023.01,4.55M
cropped_page_6.png,2023.04,4.55M
cropped_page_6.png,2023.07,4.55M
cropped_page_6.png,2023.10,4.55M
cropped_page_6.png,2024.01,4.55M
cropped_page_6.png,2024.04,4.55M
cropped_page_6.png,2024.07,4.55M
cropped_page_6.png,2024.10,4.55M
cropped_page_6.png,2025.01,4.55M
cropped_page_6.png,2025.04,4.55M
cropped_page_6.png,2025.07,4.55M
cropped_page_6.png,2025.10,4.55M
cropped_page_7.png,2016.01,4.20M
cropped_page_7.png,2016.04,4.46M
cropped_page_7.png,2016.07,3.74M
cropped_page_7.png,2016.10,3.74M
cropped_page_7.png,2017.01,3.74M
cropped_page_7.png,2017.04,3.74M
cropped_page_7.png,2017.07,3.74M
cropped_page_7.png,2017.10,3.74M
cropped_page_7.png,2018.01,3.74M
cropped_page_7.png,2018.04,3.74M
cropped_page_7.png,2018.07,3.74M
cropped_page_7.png,2018.10,3.74M
cropped_page_7.png,2019.01,3.74M
cropped_page_7.png,2019.04,3.74M
cropped_page_7.png,2019.07,3.47M
cropped_page_7.png,2019.10,3.47M
cropped_page_7.png,2020.01,3.47M
cropped_page_7.png,2020.04,3.47M
cropped_page_7.png,2020.07,3.47M
cropped_page_7.png,2020.10,3.47M
cropped_page_7.png,2021.01,3.47M
cropped_page_7.png,2021.04,3.47M
cropped_page_7.png,2021.07,3.46M
cropped_page_7.png,2021.10,3.46M
cropped_page_7.png,2022.01,3.46M
cropped_page_7.png,2022.04,3.46M
cropped_page_7.png,2022.07,3.46M
cropped_page_7.png,2022.10,3.46M
cropped_page_7.png,2023.01,3.46M
cropped_page_7.png,2023.04,3.46M
cropped_page_7.png,2023.07,3.46M
cropped_page_7.png,2023.10,3.46M
cropped_page_7.png,2023.13,3.46M
cropped_page_7.png,2024.01,3.46M
cropped_page_7.png,2024.04,3.47M
cropped_page_7.png,2024.07,3.47M
cropped_page_7.png,2025.01,3.47M
cropped_page_7.png,2025.04,3.47M
cropped_page_7.png,2025.07,3.47M
cropped_page_7.png,2025.10,3.46M
cropped_page_8.png,2023.04,3.1M
cropped_page_8.png,2023.05,3.1M
cropped_page_8.png,2023.06,3.1M
cropped_page_8.png,2023.07,3.1M
cropped_page_8.png,2023.08,3.1M
cropped_page_8.png,2023.09,3.1M
cropped_page_8.png,2023.10,3.1M
cropped_page_8.png,2023.11,3.1M
cropped_page_8.png,2023.12,3.1M
cropped_page_8.png,2024.01,3.1M
cropped_page_8.png,2024.02,3.1M
cropped_page_8.png,2024.03,3.1M
cropped_page_8.png,2024.04,3.1M
cropped_page_8.png,2024.05,3.1M
cropped_page_8.png,2024.06,3.1M
cropped_page_8.png,2024.07,3.1M
cropped_page_8.png,2024.08,3.1M
cropped_page_8.png,2024.09,3.1M
cropped_page_8.png,2024.10,3.1M
cropped_page_9.png,2023.10,901.56k
cropped_page_9.png,2023.11,901.56k
cropped_page_9.png,2023.12,901.56k
cropped_page_9.png,2024.01,901.56k
cropped_page_9.png,2024.02,901.56k
cropped_page_9.png,2024.03,901.56k
cropped_page_9.png,2024.04,901.56k
cropped_page_9.png,2024.05,901.56k
cropped_page_9.png,2024.06,901.56k
cropped_page_9.png,2024.07,901.56k
cropped_page_9.png,2024.08,901.56k
cropped_page_9.png,2024.09,901.56k
cropped_page_9.png,2024.10,901.56k
cropped_page_9.png,2024.11,901.56k
cropped_page_9.png,2024.12,901.56k
cropped_page_9.png,2025.01,901.56k
cropped_page_9.png,2025.02,901.56k
cropped_page_9.png,2025.03,901.56k
cropped_page_9.png,2025.04,901.56k
cropped_page_9.png,2025.05,901.56k
cropped_page_9.png,2025.06,901.56k
cropped_page_9.png,2025.07,901.56k
cropped_page_9.png,2025.08,901.56k
cropped_page_9.png,2025.09,901.56k
cropped_page_9.png,2025.10,901.56k
cropped_page_10.png,2023.10,880k
cropped_page_10.png,2023.11,880k
cropped_page_10.png,2023.12,880k
cropped_page_10.png,2024.01,880k
cropped_page_10.png,2024.02,880k
cropped_page_10.png,2024.03,880k
cropped_page_10.png,2024.04,880k
cropped_page_10.png,2024.05,880k
cropped_page_10.png,2024.06,880k
cropped_page_10.png,2024.07,880k
cropped_page_10.png,2024.08,880k
cropped_page_10.png,2024.09,880k
cropped_page_10.png,2024.10,880k
cropped_page_10.png,2024.11,880k
cropped_page_10.png,2024.12,880k
cropped_page_10.png,2025.01,880k
cropped_page_10.png,2025.02,880k
cropped_page_10.png,2025.03,880k
cropped_page_10.png,2025.04,880k
cropped_page_10.png,2025.05,880k
cropped_page_10.png,2025.06,880k
cropped_page_10.png,2025.07,880k
cropped_page_10.png,2025.08,880k
cropped_page_10.png,2025.09,880k
cropped_page_10.png,2025.10,880k
cropped_page_10.png,2025.11,880k
cropped_page_11.png,2023.10,880k
cropped_page_11.png,2023.11,880k
cropped_page_11.png,2023.12,880k
cropped_page_11.png,2024.01,880k
cropped_page_11.png,2024.02,880k
cropped_page_11.png,2024.03,880k
cropped_page_11.png,2024.04,880k
cropped_page_11.png,2024.05,880k
cropped_page_11.png,2024.06,880k
cropped_page_11.png,2024.07,880k
cropped_page_11.png,2024.08,880k
cropped_page_11.png,2024.09,880k
cropped_page_11.png,2024.10,880k
cropped_page_11.png,2024.11,880k
cropped_page_11.png,2024.12,880k
cropped_page_11.png,2025.01,880k
cropped_page_11.png,2025.02,880k
cropped_page_11.png,2025.03,880k
cropped_page_11.png,2025.04,880k
cropped_page_11.png,2025.05,880k
cropped_page_11.png,2025.06,880k
cropped_page_11.png,2025.07,880k
cropped_page_11.png,2025.08,880k
cropped_page_11.png,2025.09,880k
cropped_page_11.png,2025.10,880k
cropped_page_12.png,2023.10,880k
cropped_page_12.png,2023.11,880k
cropped_page_12.png,2023.12,880k
cropped_page_12.png,2024.01,880k
cropped_page_12.png,2024.02,880k
cropped_page_12.png,2024.03,880k
cropped_page_12.png,2024.04,880k
cropped_page_12.png,2024.05,880k
cropped_page_12.png,2024.06,880k
cropped_page_12.png,2024.07,880k
cropped_page_12.png,2024.08,880k
cropped_page_12.png,2024.09,880k
cropped_page_12.png,2024.10,880k
cropped_page_12.png,2024.11,880k
cropped_page_12.png,2024.12,880k
cropped_page_12.png,2025.01,880k
cropped_page_12.png,2025.02,880k
cropped_page_12.png,2025.03,880k
cropped_page_12.png,2025.04,880k
cropped_page_12.png,2025.05,880k
cropped_page_12.png,2025.06,880k
cropped_page_12.png,2025.07,880k
cropped_page_12.png,2025.08,880k
cropped_page_12.png,2025.09,880k
cropped_page_12.png,2025.10,880k
cropped_page_12.png,2025.11,880k
cropped_page_13.png,2007.04,0
cropped_page_13.png,2007.07,400k
cropped_page_13.png,2007.10,400k
cropped_page_13.png,2008.01,0
cropped_page_13.png,2008.04,0
cropped_page_13.png,2008.07,0
cropped_page_13.png,2008.10,0
cropped_page_13.png,2009.01,0
cropped_page_13.png,2009.04,0
cropped_page_13.png,2009.07,0
cropped_page_13.png,2009.10,0
cropped_page_13.png,2010.01,0
cropped_page_13.png,2010.04,0
cropped_page_13.png,2010.07,0
cropped_page_13.png,2010.10,0
cropped_page_13.png,2011.01,34.29k
cropped_page_13.png,2011.04,88.57k
cropped_page_13.png,2011.07,88.57k
cropped_page_13.png,2011.10,88.57k
cropped_page_13.png,2012.01,85.71k
cropped_page_13.png,2012.04,88.57k
cropped_page_13.png,2012.07,88.57k
cropped_page_13.png,2012.10,88.57k
cropped_page_13.png,2013.01,0
cropped_page_13.png,2013.04,0
cropped_page_13.png,2013.07,0
cropped_page_13.png,2013.10,0
cropped_page_13.png,2014.01,0
cropped_page_13.png,2014.04,0
cropped_page_13.png,2014.07,0
cropped_page_13.png,2014.10,0
cropped_page_13.png,2015.01,0
cropped_page_13.png,2015.01,0
cropped_page_13.png,2015.04,0
cropped_page_13.png,2015.07,0
cropped_page_13.png,2015.10,0
cropped_page_13.png,2015.04,0
cropped_page_13.png,2015.07,0
cropped_page_13.png,2015.10,0
cropped_page_13.png,2016.01,0
cropped_page_13.png,2016.04,0
cropped_page_13.png,2016.07,0
cropped_page_13.png,2016.10,0
cropped_page_13.png,2017.01,0
cropped_page_13.png,2017.04,0
cropped_page_13.png,2017.07,0
cropped_page_13.png,2017.10,0
cropped_page_13.png,2018.01,0
cropped_page_13.png,2018.04,0
cropped_page_13.png,2018.07,0
cropped_page_13.png,2018.10,0
cropped_page_13.png,2019.01,0
cropped_page_13.png,2019.04,0
cropped_page_13.png,2019.07,0
cropped_page_13.png,2019.10,0
cropped_page_13.png,2020.01,0
cropped_page_13.png,2020.04,0
cropped_page_13.png,2020.07,0
cropped_page_13.png,2020.10,0
cropped_page_13.png,2021.01,0
cropped_page_13.png,2021.04,457.14k
cropped_page_13.png,2021.07,565.71k
cropped_page_13.png,2021.10,600k
cropped_page_13.png,2022.01,600k
cropped_page_13.png,2022.04,557.14k
cropped_page_13.png,2022.07,497.14k
cropped_page_13.png,2022.10,514.29k
cropped_page_13.png,2023.01,600k
cropped_page_13.png,2023.04,674.29k
cropped_page_13.png,2023.07,545.71k
cropped_page_13.png,2023.10,797.14k
cropped_page_13.png,2024.01,677.14k
cropped_page_13.png,2024.04,685.71k
cropped_page_13.png,2024.07,742.86k
cropped_page_13.png,2024.10,748.57k
cropped_page_13.png,2025.01,745.71k
cropped_page_13.png,2025.04,748.57k
cropped_page_13.png,2025.07,714.29k
cropped_page_13.png,2025.10,714.29k
cropped_page_14.png,2020.10,581.21k
cropped_page_14.png,2021.01,581.21k
cropped_page_14.png,2021.04,581.21k
cropped_page_14.png,2021.07,581.21k
cropped_page_14.png,2021.10,581.21k
cropped_page_14.png,2022.01,581.21k
cropped_page_14.png,2022.04,581.21k
cropped_page_14.png,2022.07,581.21k
cropped_page_14.png,2023.01,581.21k
cropped_page_14.png,2023.04,581.21k
cropped_page_14.png,2023.07,581.21k
cropped_page_14.png,2023.10,581.21k
cropped_page_14.png,2024.01,581.21k
cropped_page_14.png,2024.04,581.21k
cropped_page_14.png,2024.07,581.21k
cropped_page_14.png,2024.10,581.21k
cropped_page_14.png,2025.01,581.21k
cropped_page_14.png,2025.04,581.21k
cropped_page_14.png,2025.07,581.21k
cropped_page_14.png,2025.10,581.21k
cropped_page_15.png,2007.01,0
cropped_page_15.png,2007.04,0
cropped_page_15.png,2007.07,6.92k
cropped_page_15.png,2007.10,0
cropped_page_15.png,2008.01,0
cropped_page_15.png,2008.04,0
cropped_page_15.png,2008.07,0
cropped_page_15.png,2008.10,0
cropped_page_15.png,2009.01,0
cropped_page_15.png,2009.04,0
cropped_page_15.png,2009.07,0
cropped_page_15.png,2009.10,0
cropped_page_15.png,2010.01,0
cropped_page_15.png,2010.04,0
cropped_page_15.png,2010.07,0
cropped_page_15.png,2010.10,0
cropped_page_15.png,2011.01,0
cropped_page_15.png,2011.04,0
cropped_page_15.png,2011.07,0
cropped_page_15.png,2011.10,0
cropped_page_15.png,2012.01,0
cropped_page_15.png,2012.04,0
cropped_page_15.png,2012.07,0
cropped_page_15.png,2012.10,0
cropped_page_15.png,2013.01,0
cropped_page_15.png,2013.04,0
cropped_page_15.png,2013.07,0
cropped_page_15.png,2013.10,0
cropped_page_15.png,2014.01,0
cropped_page_15.png,2014.04,0
cropped_page_15.png,2014.07,0
cropped_page_15.png,2014.10,0
cropped_page_15.png,2015.01,0
cropped_page_15.png,2015.04,0
cropped_page_15.png,2015.07,0
cropped_page_15.png,2015.10,0
cropped_page_15.png,2016.01,0
cropped_page_15.png,2016.04,0
cropped_page_15.png,2016.07,0
cropped_page_15.png,2016.10,0
cropped_page_15.png,2017.01,2.02k
cropped_page_15.png,2017.04,828
cropped_page_15.png,2017.07,0
cropped_page_15.png,2017.10,0
cropped_page_15.png,2018.01,464
cropped_page_15.png,2018.04,0
cropped_page_15.png,2018.07,364
cropped_page_15.png,2018.10,464
cropped_page_15.png,2019.01,0
cropped_page_15.png,2019.04,0
cropped_page_15.png,2019.07,0
cropped_page_15.png,2019.10,364
cropped_page_15.png,2020.01,629
cropped_page_15.png,2020.04,729
cropped_page_15.png,2020.07,762
cropped_page_15.png,2020.10,828
cropped_page_15.png,2021.01,795
cropped_page_15.png,2021.04,1.26k
cropped_page_15.png,2021.07,5.17k
cropped_page_15.png,2021.10,5.33k
cropped_page_15.png,2022.01,1M
cropped_page_15.png,2022.04,7.35k
cropped_page_15.png,2022.07,8.88k
cropped_page_15.png,2022.10,8.51k
cropped_page_15.png,2023.01,9.14k
cropped_page_15.png,2023.04,8.25k
cropped_page_15.png,2023.07,8.81k
cropped_page_15.png,2023.10,8.25k
cropped_page_15.png,2024.01,7.39k
cropped_page_15.png,2024.04,1M
cropped_page_15.png,2024.07,5.27k
cropped_page_15.png,2024.10,5.07k
cropped_page_15.png,2025.01,2.19k
cropped_page_15.png,2025.04,2.62k
cropped_page_15.png,2025.07,2.25k
cropped_page_15.png,2025.10,2.25k
cropped_page_16.png,2011.01,247.73k
cropped_page_16.png,2011.04,247.73k
cropped_page_16.png,2011.07,247.73k
cropped_page_16.png,2011.10,247.73k
cropped_page_16.png,2012.01,247.73k
cropped_page_16.png,2012.04,247.73k
cropped_page_16.png,2012.07,247.73k
cropped_page_16.png,2012.10,247.73k
cropped_page_16.png,2013.01,247.73k
cropped_page_16.png,2013.04,247.73k
cropped_page_16.png,2013.07,247.73k
cropped_page_16.png,2014.01,247.73k
cropped_page_16.png,2014.04,247.73k
cropped_page_16.png,2014.07,247.73k
cropped_page_16.png,2014.10,247.73k
cropped_page_16.png,2015.01,247.73k
cropped_page_16.png,2015.04,247.73k
